Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
Uden,GM0856,856,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,67527200.588829,41779.1224818227,1588550400000,252,116,62,42122,598.3,275.4,147.2,291
Uitgeest,GM0450,450,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,22292840.1370277,23970.3902745759,1588550400000,22,5,1,13649,161.2,36.6,7.3,292
Uithoorn,GM0451,451,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,19391904.0291672,23913.5532848268,1588550400000,46,16,2,29466,156.1,54.3,6.8,293
Urk,GM0184,184,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,13465211.9430161,19263.9858786372,1588550400000,68,21,4,21033,323.3,99.8,19,294
Utrecht,GM0344,344,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,99221364.9746513,58974.4980510777,1588550400000,846,240,85,357694,236.5,67.1,23.8,295
Utrechtse Heuvelrug,GM1581,1581,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,133938101.839146,70636.5256006374,1588550400000,91,29,14,49601,183.5,58.5,28.2,296
Vaals,GM0981,981,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,23896755.6714172,25833.0481104048,1588550400000,29,10,1,10099,287.2,99,9.9,297
Valkenburg aan de Geul,GM0994,994,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,36921816.1742706,33965.9583019762,1588550400000,76,17,7,16360,464.5,103.9,42.8,298
Valkenswaard,GM0858,858,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,56483786.3020592,44617.0597967934,1588550400000,168,17,34,31200,538.5,54.5,109,299
Veendam,GM0047,47,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,78708958.7024841,39400.0806517878,1588550400000,8,2,0,27387,29.2,7.3,0,300
